source,model,task,T,rule,greedy,plain,loss,gain,lo,hi,acc
main_grid,mistral-7b-instruct-v0.3,gsm8k,0.7,top_n_sigma,28.000000000000004,31.333333333333336,-3.333333333333332,-3.333333333333333,-12.666666666666664,5.999999999999999,27.999999999999996
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.0,top_p,28.000000000000004,28.666666666666668,-0.6666666666666643,2.666666666666667,-3.9999999999999987,8.666666666666668,31.333333333333336
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.0,top_k,28.000000000000004,28.666666666666668,-0.6666666666666643,1.3333333333333326,-4.666666666666666,7.333333333333332,30.0
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.0,min_p,28.000000000000004,28.666666666666668,-0.6666666666666643,-1.333333333333333,-8.666666666666666,6.016666666666576,27.333333333333332
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.0,top_n_sigma,28.000000000000004,28.666666666666668,-0.6666666666666643,2.000000000000001,-4.666666666666666,8.666666666666668,30.666666666666664
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.3,top_p,28.000000000000004,32.0,-3.9999999999999964,-1.333333333333333,-9.333333333333332,6.666666666666666,30.666666666666664
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.3,top_k,28.000000000000004,32.0,-3.9999999999999964,7.105427357601002e-16,-9.333333333333332,8.666666666666668,32.0
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.3,min_p,28.000000000000004,32.0,-3.9999999999999964,-2.666666666666666,-10.666666666666664,6.000000000000001,29.33333333333333
main_grid,mistral-7b-instruct-v0.3,gsm8k,1.3,top_n_sigma,28.000000000000004,32.0,-3.9999999999999964,-1.9999999999999998,-11.33333333333333,7.333333333333334,30.0
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,0.7,top_p,40.0,29.333333333333332,10.666666666666668,1.333333333333333,-5.333333333333332,7.999999999999999,30.666666666666664
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,0.7,top_k,40.0,29.333333333333332,10.666666666666668,3.3333333333333326,-4.666666666666667,12.0,32.666666666666664
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,0.7,min_p,40.0,29.333333333333332,10.666666666666668,3.9999999999999987,-1.9999999999999993,9.999999999999998,33.33333333333333
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,0.7,top_n_sigma,40.0,29.333333333333332,10.666666666666668,4.666666666666666,-3.3333333333333326,13.33333333333333,34.0
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.0,top_p,40.0,34.666666666666664,5.333333333333336,-4.666666666666666,-11.333333333333332,1.9999999999999998,30.0
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.0,top_k,40.0,34.666666666666664,5.333333333333336,2.666666666666666,-4.666666666666666,9.333333333333332,37.33333333333333
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.0,min_p,40.0,34.666666666666664,5.333333333333336,-2.666666666666666,-9.333333333333332,3.9999999999999987,32.0
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.0,top_n_sigma,40.0,34.666666666666664,5.333333333333336,-1.333333333333333,-8.666666666666664,5.999999999999999,33.33333333333333
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.3,top_p,40.0,20.0,20.0,5.333333333333334,-2.0,12.666666666666664,25.33333333333333
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.3,top_k,40.0,20.0,20.0,6.0,-2.666666666666666,14.666666666666664,26.0
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.3,min_p,40.0,20.0,20.0,8.666666666666666,1.3333333333333337,16.01666666666658,28.666666666666668
main_grid,mistral-7b-instruct-v0.3,mmlu_pro,1.3,top_n_sigma,40.0,20.0,20.0,14.666666666666668,6.0,23.333333333333336,34.66666666666666
main_grid,qwen2.5-7b-instruct,gsm8k,0.7,top_p,92.0,92.66666666666666,-0.6666666666666572,1.4210854715202004e-16,-1.9999999999999998,2.0,92.66666666666666
main_grid,qwen2.5-7b-instruct,gsm8k,0.7,top_k,92.0,92.66666666666666,-0.6666666666666572,-2.666666666666667,-8.0,2.6666666666666656,90.0
main_grid,qwen2.5-7b-instruct,gsm8k,0.7,min_p,92.0,92.66666666666666,-0.6666666666666572,-2.666666666666667,-6.666666666666668,0.6666666666666664,90.0
main_grid,qwen2.5-7b-instruct,gsm8k,0.7,top_n_sigma,92.0,92.66666666666666,-0.6666666666666572,1.9999999999999993,-0.6666666666666669,4.666666666666666,94.66666666666667
main_grid,qwen2.5-7b-instruct,gsm8k,1.0,top_p,92.0,87.33333333333333,4.666666666666671,3.3333333333333326,-1.3333333333333335,7.999999999999999,90.66666666666666
main_grid,qwen2.5-7b-instruct,gsm8k,1.0,top_k,92.0,87.33333333333333,4.666666666666671,-1.3333333333333335,-6.666666666666666,4.0,86.0
main_grid,qwen2.5-7b-instruct,gsm8k,1.0,min_p,92.0,87.33333333333333,4.666666666666671,4.666666666666666,-2.016666666666667,11.333333333333336,92.0
main_grid,qwen2.5-7b-instruct,gsm8k,1.0,top_n_sigma,92.0,87.33333333333333,4.666666666666671,3.9999999999999996,-5.684341886080802e-16,8.666666666666666,91.33333333333333
main_grid,qwen2.5-7b-instruct,gsm8k,1.3,top_p,92.0,88.66666666666666,3.333333333333343,1.3333333333333326,-3.333333333333334,6.666666666666666,90.0
main_grid,qwen2.5-7b-instruct,gsm8k,1.3,top_k,92.0,88.66666666666666,3.333333333333343,2.666666666666666,-0.6666666666666667,6.0,91.33333333333333
